"Species","SASAP.Region","YEAR","median_wgt","p05_wgt","p95_wgt"
"chinook","Alaska Peninsula and Aleutian Islands",1975,15.7552469345904,15.675861016329,15.8346328528518
"chinook","Alaska Peninsula and Aleutian Islands",1976,16.9972975169667,15.2576441005803,17.5691799786522
"chinook","Alaska Peninsula and Aleutian Islands",1977,20.1284167121485,19.4732693733778,25.9874330596216
"chinook","Alaska Peninsula and Aleutian Islands",1978,23.3659090909091,20.7568600540653,32.0749746707193
"chinook","Alaska Peninsula and Aleutian Islands",1979,23.2713477056486,16.8014692091279,25.9093043446804
"chinook","Alaska Peninsula and Aleutian Islands",1980,19.7922531696117,14.5770099967579,26.5181818181818
"chinook","Alaska Peninsula and Aleutian Islands",1981,20.2738865038905,14.6347979674819,26.3958333333333
"chinook","Alaska Peninsula and Aleutian Islands",1982,19.2363636363636,18.2508962976893,20.255412244898
"chinook","Alaska Peninsula and Aleutian Islands",1983,20.1097353497164,14.4239827134117,20.9237862606049
"chinook","Alaska Peninsula and Aleutian Islands",1984,18.5897435897436,16.4721867151823,20.308096526188
"chinook","Alaska Peninsula and Aleutian Islands",1985,18.4040974003838,17.4421505268081,21.3340901596242
"chinook","Alaska Peninsula and Aleutian Islands",1986,17.3553506035535,15.4378184654805,19.3720779220779
"chinook","Alaska Peninsula and Aleutian Islands",1987,18.6033033033033,15.4080873183842,21.5715283373623
"chinook","Alaska Peninsula and Aleutian Islands",1988,17.8615829101734,15.992717621758,19.3080314663903
"chinook","Alaska Peninsula and Aleutian Islands",1989,17.5222781867493,16.7942036419595,19.5129783117809
"chinook","Alaska Peninsula and Aleutian Islands",1990,17.7499135101109,15.0239005916268,18.4217215885623
"chinook","Alaska Peninsula and Aleutian Islands",1991,16.5727482678984,14.5210423288379,17.018220519847
"chinook","Alaska Peninsula and Aleutian Islands",1992,17.0415338645418,15.8432581418474,17.5702666340509
"chinook","Alaska Peninsula and Aleutian Islands",1993,16.0922124150889,13.1053431230935,18.8463064124928
"chinook","Alaska Peninsula and Aleutian Islands",1994,18.4155242324773,15.5045780474352,18.7329524723884
"chinook","Alaska Peninsula and Aleutian Islands",1995,17.2002406738869,15.3137715778385,21.5360543930786
"chinook","Alaska Peninsula and Aleutian Islands",1996,17.1046225565088,13.200890686954,19.0561152612334
"chinook","Alaska Peninsula and Aleutian Islands",1997,15.9967912083018,13.7886521356375,17.8586099037714
"chinook","Alaska Peninsula and Aleutian Islands",1998,14.8137044579089,13.2605870780432,16.7896363826467
"chinook","Alaska Peninsula and Aleutian Islands",1999,17.2581168831169,12.1396461315557,19.4989842673588
"chinook","Alaska Peninsula and Aleutian Islands",2000,15.9141669141669,13.8819058515453,17.6099472683574
"chinook","Alaska Peninsula and Aleutian Islands",2001,15.7658331306766,10.2295146644844,17.6413438256659
"chinook","Alaska Peninsula and Aleutian Islands",2002,13.5262985777432,12.0437831426713,16.2310208073454
"chinook","Alaska Peninsula and Aleutian Islands",2003,13.8224348750665,11.5477876106195,18.923125703271
"chinook","Alaska Peninsula and Aleutian Islands",2004,16.4011910757489,13.069283169223,17.9094221225028
"chinook","Alaska Peninsula and Aleutian Islands",2005,14.4745762711864,12.8708382383191,15.1908658509423
"chinook","Alaska Peninsula and Aleutian Islands",2006,13.5535726101555,9.90751677188073,18.4854636992759
"chinook","Alaska Peninsula and Aleutian Islands",2007,14.0980834210988,9.92709635738407,17.014280900871
"chinook","Alaska Peninsula and Aleutian Islands",2008,17.0471680454929,14.6134902548348,17.4989495338556
"chinook","Alaska Peninsula and Aleutian Islands",2009,15.1497443389335,13.2998680308818,17.3743325987841
"chinook","Alaska Peninsula and Aleutian Islands",2010,14.2436997657507,11.8850049910805,16.4861442540828
"chinook","Alaska Peninsula and Aleutian Islands",2011,12.8943263794112,11.6370467870709,17.4343878516306
"chinook","Alaska Peninsula and Aleutian Islands",2012,16.5147710487445,15.5497349445957,16.8711567387417
"chinook","Alaska Peninsula and Aleutian Islands",2013,13.334808259587,12.5705000567279,13.9102895474651
"chinook","Alaska Peninsula and Aleutian Islands",2014,11.9173722542126,8.07419425216684,14.4506905840278
"chinook","Alaska Peninsula and Aleutian Islands",2015,10.5621701211915,6.60452629950318,13.8874694007312
"chinook","Alaska Peninsula and Aleutian Islands",2016,12.8723659238899,8.74232962398701,16.3821194785974
"chinook","Bristol Bay",1975,18.1571850855991,17.7068843739445,18.6074857972537
"chinook","Bristol Bay",1976,17.1025322373095,17.0778666691091,17.1271978055099
"chinook","Bristol Bay",1977,22.9296558928411,22.6946765466922,23.1646352389901
"chinook","Bristol Bay",1978,22.6566597834839,20.6074028922406,24.7059166747272
"chinook","Bristol Bay",1979,19.2631933547677,18.5222800341667,20.0041066753687
"chinook","Bristol Bay",1980,19.2559020099497,18.5356104146825,19.9761936052168
"chinook","Bristol Bay",1981,18.195824102927,17.6679804879859,18.7236677178682
"chinook","Bristol Bay",1982,19.8630798853345,19.579436047261,20.146723723408
"chinook","Bristol Bay",1983,20.6023951154857,20.2592410476469,20.9455491833245
"chinook","Bristol Bay",1984,19.9894983620166,19.9670688763592,20.0119278476739
"chinook","Bristol Bay",1985,17.5519919388493,16.6975026063478,18.4064812713508
"chinook","Bristol Bay",1986,18.3760191039969,18.0979012061743,18.6541370018194
"chinook","Bristol Bay",1987,20.3139937796431,19.9743326402528,20.6536549190334
"chinook","Bristol Bay",1988,19.0632040142282,18.2834078487393,19.8430001797171
"chinook","Bristol Bay",1989,19.3869958666601,19.0804766885561,19.6935150447641
"chinook","Bristol Bay",1990,16.8747980595635,16.6034539337494,17.1461421853776
"chinook","Bristol Bay",1991,15.5273777088334,14.1558274316265,16.8989279860402
"chinook","Bristol Bay",1992,16.5354155788561,16.226146439324,16.8446847183882
"chinook","Bristol Bay",1993,16.9614399099316,16.4185784555329,17.5043013643303
"chinook","Bristol Bay",1994,17.8612194094659,17.6594536326481,18.0629851862836
"chinook","Bristol Bay",1995,19.2475609596441,18.6077630212753,19.8873588980129
"chinook","Bristol Bay",1996,16.348553270425,15.3882186566263,17.3088878842236
"chinook","Bristol Bay",1997,15.8039040548825,14.8941220023172,16.7136861074478
"chinook","Bristol Bay",1998,17.0311719945204,16.6531474119327,17.4091965771082
"chinook","Bristol Bay",1999,14.789914723929,14.1404293808896,15.4394000669685
"chinook","Bristol Bay",2000,15.6657647271243,15.632619779799,15.6989096744495
"chinook","Bristol Bay",2001,17.6737779177427,17.189277169954,18.1582786655314
"chinook","Bristol Bay",2002,17.6276128537148,16.8252847249643,18.4299409824652
"chinook","Bristol Bay",2003,15.9964216521421,15.9858354590998,16.0070078451845
"chinook","Bristol Bay",2004,15.0957009732165,15.0669831239253,15.1244188225077
"chinook","Bristol Bay",2005,16.1166331470329,15.6090753916774,16.6241909023885
"chinook","Bristol Bay",2006,16.388377941544,15.5173497271741,17.2594061559139
"chinook","Bristol Bay",2007,13.448574739107,13.2986091792313,13.5985402989827
"chinook","Bristol Bay",2008,15.5231088026472,14.7764291771968,16.2697884280976
"chinook","Bristol Bay",2009,15.2365429985386,15.0595917175434,15.4134942795338
"chinook","Bristol Bay",2010,14.2469227094284,13.9683514144361,14.5254940044206
"chinook","Bristol Bay",2011,13.2752836848813,12.8008378852825,13.7497294844801
"chinook","Bristol Bay",2012,14.6279728982947,13.6733061200445,15.5826396765449
"chinook","Bristol Bay",2013,15.7333065698812,14.7464512461259,16.7201618936366
"chinook","Bristol Bay",2014,15.2205295988449,14.5998969260643,15.8411622716254
"chinook","Bristol Bay",2015,10.8858878164361,10.2263983791668,11.5453772537054
"chinook","Bristol Bay",2016,13.1069843357927,12.6259461379212,13.5880225336642
"chinook","Chignik",1975,25.6976320582878,25.6976320582878,25.6976320582878
"chinook","Chignik",1976,12.7637554585153,12.7637554585153,12.7637554585153
"chinook","Chignik",1977,29.8253521126761,29.8253521126761,29.8253521126761
"chinook","Chignik",1978,26.6321112515803,26.6321112515803,26.6321112515803
"chinook","Chignik",1979,15.1200324412003,15.1200324412003,15.1200324412003
"chinook","Chignik",1980,13.7570452604611,13.7570452604611,13.7570452604611
"chinook","Chignik",1981,18.8685968819599,18.8685968819599,18.8685968819599
"chinook","Chignik",1982,11.4067342643964,11.4067342643964,11.4067342643964
"chinook","Chignik",1983,17.5216836734694,17.5216836734694,17.5216836734694
"chinook","Chignik",1984,23.0104846225536,23.0104846225536,23.0104846225536
"chinook","Chignik",1985,23.7930666666667,23.7930666666667,23.7930666666667
"chinook","Chignik",1986,21.9861705630556,21.9861705630556,21.9861705630556
"chinook","Chignik",1987,18.6654092795172,18.6654092795172,18.6654092795172
"chinook","Chignik",1988,17.6644736842105,17.6644736842105,17.6644736842105
"chinook","Chignik",1989,21.6538678712592,21.6538678712592,21.6538678712592
"chinook","Chignik",1990,13.5607514392486,13.5607514392486,13.5607514392486
"chinook","Chignik",1991,21.2021308980213,21.2021308980213,21.2021308980213
"chinook","Chignik",1992,12.7499538319483,12.7499538319483,12.7499538319483
"chinook","Chignik",1993,12.009025178196,12.009025178196,12.009025178196
"chinook","Chignik",1994,18.3499871893415,18.3499871893415,18.3499871893415
"chinook","Chignik",1995,21.1341950199582,21.1341950199582,21.1341950199582
"chinook","Chignik",1996,20.1619967793881,20.1619967793881,20.1619967793881
"chinook","Chignik",1999,17.2044902912621,17.2044902912621,17.2044902912621
"chinook","Chignik",2001,13.7968365553603,13.7968365553603,13.7968365553603
"chinook","Chignik",2002,9.52463566967384,9.52463566967384,9.52463566967384
"chinook","Chignik",2005,17.734375,17.734375,17.734375
"chinook","Chignik",2008,15.144502617801,15.144502617801,15.144502617801
"chinook","Chignik",2009,9.49167694204686,9.49167694204686,9.49167694204686
"chinook","Chignik",2010,10.5492655367232,10.5492655367232,10.5492655367232
"chinook","Chignik",2012,13.4350935093509,13.4350935093509,13.4350935093509
"chinook","Chignik",2013,12.3978419770275,12.3978419770275,12.3978419770275
"chinook","Chignik",2014,11.0731707317073,11.0731707317073,11.0731707317073
"chinook","Chignik",2015,10.585053674649,10.585053674649,10.585053674649
"chinook","Chignik",2016,7.51929534819708,7.51929534819708,7.51929534819708
"chinook","Cook Inlet",1975,21.1831755833376,19.6171085189113,36.3064925300737
"chinook","Cook Inlet",1976,23.4801117513532,6.20367026340844,33.9964618850898
"chinook","Cook Inlet",1977,27.3452805300754,10.4513898520573,34.4738133545844
"chinook","Cook Inlet",1978,29.3427388946478,24.5904369039027,36.7082486877448
"chinook","Cook Inlet",1979,22.0513391731802,7.936547457307,36.9393037482551
"chinook","Cook Inlet",1980,22.6497797890265,7.78540158419215,33.8709226372729
"chinook","Cook Inlet",1981,16.0598776376722,6.06128317368404,20.0263313377769
"chinook","Cook Inlet",1982,22.7596667605114,13.7007589355393,24.5036721003661
"chinook","Cook Inlet",1983,23.1325555279892,21.7557177615572,27.960737598027
"chinook","Cook Inlet",1984,20.567735779566,8.57624321705426,30.8770446529658
"chinook","Cook Inlet",1985,25.9074519117129,11.3855952964233,29.8982203636706
"chinook","Cook Inlet",1986,22.0092148309706,13.4966666666667,24.3858181018721
"chinook","Cook Inlet",1987,26.0576799025802,11.9747760519215,30.9308587723541
"chinook","Cook Inlet",1988,22.0295638644702,13.2020366525879,32.8909629782759
"chinook","Cook Inlet",1989,15.4996096799375,11.7087844974055,22.2656097494214
"chinook","Cook Inlet",1990,14.8117397338558,13.2122823891685,20.9729653526372
"chinook","Cook Inlet",1991,16.4134271865284,8.08674411124307,19.9470422921301
"chinook","Cook Inlet",1992,14.6651540637663,10.3892084769465,22.27647272571
"chinook","Cook Inlet",1993,18.558926456867,9.64808260377811,24.7442159039725
"chinook","Cook Inlet",1994,19.1058486650827,12.5537246307494,28.1567053931481
"chinook","Cook Inlet",1995,16.2762182297793,11.7124444444444,24.7943310911601
"chinook","Cook Inlet",1996,17.8248419541642,11.8915988976236,25.2925115679462
"chinook","Cook Inlet",1997,16.523896746271,7.60136284175932,24.9631578947368
"chinook","Cook Inlet",1998,13.490425989673,9.98016351118761,19.4279472316318
"chinook","Cook Inlet",1999,15.6416960093897,10.9592193223443,22.9438399542979
"chinook","Cook Inlet",2000,15.9126594700687,12.2988705097445,22.3351999024986
"chinook","Cook Inlet",2001,12.4809436533672,10.8623581260565,17.9836538168634
"chinook","Cook Inlet",2002,14.2240581625909,13.497036358131,21.7591705221414
"chinook","Cook Inlet",2003,14.744874715262,11.9263177543881,20.4232673870588
"chinook","Cook Inlet",2004,14.1220077503142,8.27354678848283,23.8563447358261
"chinook","Cook Inlet",2005,14.9800918540005,12.4023770250368,24.0653194660137
"chinook","Cook Inlet",2006,17.1886930983847,14.0193865512178,19.8052369144318
"chinook","Cook Inlet",2007,16.6856492027335,13.1879595391074,20.7369283576023
"chinook","Cook Inlet",2008,22.239729691942,10.2612458471761,26.0622174619509
"chinook","Cook Inlet",2009,18.2391163092917,10.0649153028998,18.5986104261099
"chinook","Cook Inlet",2010,16.448275862069,12.8591672088484,20.7490579799589
"chinook","Cook Inlet",2011,15.3663620071685,10.0965707643127,20.5818334293671
"chinook","Cook Inlet",2012,11.3014864540877,5.19158934707904,17.166867317464
"chinook","Cook Inlet",2013,11.3081692612943,5.56044041286727,14.2578606078606
"chinook","Cook Inlet",2014,10.3565111185984,7.83483317669173,15.9389223340287
"chinook","Cook Inlet",2015,10.7386160289358,7.98442094313453,16.6590388655462
"chinook","Cook Inlet",2016,11.7184530799616,10.3594510442614,18.199545133733
"chinook","Copper River",1975,27.8434636530238,27.8434636530238,27.8434636530238
